genet,sam,treat,bank,pheno,weight_4_15,weight_2_16,ID,Area
2,2C,C,w,s,6.63,7.06,long,5.51
2,2C,C,w,s,8.93,9.4,edge,5.482
2,2C,C,w,s,11.13,11.46,inner,5.192
3,3C,C,w,r,5.26,5.63,small,2.071
3,3C,C,w,r,7.68,8.54,big,7.404
3,3V,V,w,r,8.64,9.7,big,5.886
3,3V,V,w,r,6.4,7.15,small,4.929
4,4C,C,w,s,13.84,14.89,long,9.029
4,4C,C,w,s,12.52,13.61,square,9.321
5,5V,V,w,r,5.02,5.7,na,3.599
5,5C,C,w,r,8.28,9.01,big,5.011
5,5C,C,w,r,1.69,1.74,small,1.128
6,6C,C,e,s,6.66,7.19,small,4.193
6,6C,C,e,s,4.01,4.7,long,6.26
8,8C,C,e,r,7.41,7.84,edge,5.515
8,8V,V,e,r,6.87,7.65,na,4.401
8,8C,C,e,r,7.55,7.81,inner,4.453
9,9C,C,e,r,11.1,12.26,big,6.624
9,9C,C,e,r,6.8,7.89,medium,5.941
9,9C,C,e,r,10.03,10.93,sall,5.307
9,9V,V,e,r,7.33,8.23,big,4.306
9,9V,V,e,r,3.87,4.5,small,3.463
10,10V,V,e,r,5.95,6.58,na,5.78
10,10C,C,e,r,7.77,8.66,long,6.356
10,10C,C,e,r,10.08,10.6,short,5.847
11,11C,C,e,s,5.99,6.85,medium,4.685
11,11C,C,e,s,18.45,19.5,big,8.886
11,11C,C,e,s,2.3,3.06,small,3.045
12,12V,V,e,r,6.36,7.01,na,4.489
12,12C,C,e,r,8.05,9.17,na,8.413
13,13C,C,e,s,4.74,5.14,small,5.077
13,13C,C,e,s,10.19,10.19,big,3.067
14,14C,C,e,s,4.38,4.89,big,3.359
14,14C,C,e,s,1.76,2.16,small,2.118
15,15V,V,e,r,7.36,7.98,big,3.779
15,15C,C,e,r,3.57,3.98,edge,2.801
15,15C,C,e,r,3.77,4.07,inner,4.077
15,15V,V,e,r,5.94,6.19,small,2.844
16,16C,C,w,s,3.71,4.19,small,3.411
16,16C,C,w,s,7.43,7.63,big,4.949
17,17C,C,w,s,4.97,5.51,small,3.255
17,17C,C,w,s,6.33,6.93,big,3.868
19,19C,C,w,s,1.45,1.83,na,2.427
20,20C,C,w,s,3.41,4.19,na,4.451
21,21C,C,w,s,4.35,5.24,big,3.791
21,21C,C,w,s,7.08,7.44,small,3.706
23,23C,C,w,s,13.17,15.15,big,7.245
23,23C,C,w,s,12.19,13.74,small,5.755
24,24C,C,w,s,7.18,7.77,big,3.992
24,24C,C,w,s,5.58,6.08,small,4.12
25,25C,C,w,s,6.13,7.76,fat,4.9
25,25C,C,w,s,6.39,7.88,skinny,4.531
26,26C,C,e,s,2.93,3.23,small,2.229
26,26C,C,e,s,5.41,6.06,big,3.83
27,27C,C,e,r,7.86,8.5,big,5.972
27,27C,C,e,r,4.45,5.01,small,3.387
27,27V,V,e,r,9.72,10.45,jagged,5.556
27,27V,V,e,r,8.8,9.12,smooth,6.15
