geno,rep,bank,treat,tod,dead
1,1,w,c,23,0
1,2,w,c,23,0
1,1,w,v,18,1
1,2,w,v,18,1
2,1,w,c,23,0
2,2,w,c,23,0
2,3,w,c,23,0
2,1,w,v,20,1
2,2,w,v,20,1
2,3,w,v,20,1
3,1,w,c,23,0
3,2,w,c,23,0
3,1,w,v,23,0
3,2,w,v,23,0
4,1,w,c,23,0
4,2,w,c,23,0
4,1,w,v,21,1
4,2,w,v,21,1
5,1,w,c,23,0
5,2,w,c,23,0
5,1,w,v,23,0
6,1,e,c,23,0
6,2,e,c,23,0
6,1,e,v,20,1
6,2,e,v,20,1
7,1,e,c,23,0
7,2,e,c,23,0
7,1,e,v,20,1
7,2,e,v,20,1
8,1,e,c,23,0
8,2,e,c,23,0
8,1,e,v,23,0
9,1,e,c,23,0
9,2,e,c,23,0
9,3,e,c,23,0
9,1,e,v,23,0
9,2,e,v,23,0
10,1,e,c,23,0
10,2,e,c,23,0
10,1,e,v,22,1
10,2,e,v,23,0
11,1,e,c,23,0
11,2,e,c,23,0
11,3,e,c,23,0
11,1,e,v,20,1
11,2,e,v,20,1
11,3,e,v,20,1
12,1,e,c,23,0
12,2,e,v,23,0
13,1,e,c,23,0
13,2,e,c,23,0
13,1,e,v,20,1
13,2,e,v,20,1
14,1,e,c,23,0
14,2,e,c,23,0
14,1,e,v,20,1
14,2,e,v,20,1
15,1,e,c,23,0
15,2,e,c,23,0
15,1,e,v,23,0
15,2,e,v,23,0
16,1,w,c,23,0
16,2,w,c,23,0
16,1,w,v,20,1
16,2,w,v,20,1
17,1,w,c,23,0
17,2,w,c,23,0
17,1,w,v,20,1
17,2,w,v,20,1
18,1,w,c,12,1
18,2,w,c,12,1
18,1,w,v,10,1
18,2,w,v,10,1
19,1,w,c,23,0
19,2,w,v,20,1
20,1,w,c,23,0
20,2,w,v,20,1
21,1,w,c,23,0
21,2,w,c,23,0
21,1,w,v,17,1
21,2,w,v,17,1
23,1,w,c,23,0
23,2,w,c,23,0
23,1,w,v,20,1
23,2,w,v,20,1
24,1,w,c,23,0
24,2,w,c,23,0
24,1,w,v,20,1
24,2,w,v,20,1
25,1,w,c,23,0
25,2,w,c,23,0
25,1,w,v,20,1
25,2,w,v,20,1
26,1,e,c,23,0
26,2,e,c,23,0
26,1,e,v,20,1
26,2,e,v,20,1
27,1,e,c,23,0
27,2,e,c,23,0
27,1,e,v,23,0
27,2,e,v,23,0
28,1,e,c,10,1
28,1,e,v,10,1
29,1,e,c,23,0
29,2,e,c,23,0
29,3,e,c,23,0
29,1,e,v,20,1
29,2,e,v,20,1
29,3,e,v,20,1
